1,SP-02-001,Andy Mark,AM-0255,"2.5"" CIM Motor",K. Dominguez,2013-02-06,http://www.andymark.com/CIM-motor-FIRST-p/am-0255.htm, ,
2,SP-01-001,Andy Mark,AM-0420,"2010 8"" FIRST Wheel, Rubber Treaded",K. Dominguez,2013-04-20,https://www.andymark.com/product-p/am-0420.htm, ,
3,SP-01-002,Andy Mark,AM-2116," 8"" Mecanum HD Wheel - Left",K. Dominguez,2014-01-18,http://www.andymark.com/8in-Mecanum-HD-Left-p/am-2116.htm, ,
4,SP-01-003,Andy Mark,AM-2115," 8"" Mecanum HD Wheel - Right",K. Dominguez,2014-01-18,http://www.andymark.com/8in-Mecanum-HD-Right-p/am-2115.htm, ,
5,SP-01-004,Andy Mark,AM-0970,8 inch Pneumatic Wheel,C. Granch,2014-01-18,http://www.andymark.com/product-p/am-0970.htm, ,
6,SP-02-002,Andy Mark,AM-0912,9015 Motor,K. Dominguez,2014-01-18,http://www.andymark.com/product-p/am-0912.htm, ,
7,SP-02-003,Andy Mark,AM-2235,Snow Blower motor,C. Granch,2014-01-18,http://www.andymark.com/product-p/am-2235.htm, ,
8,SP-03-001,Andy Mark,AM-0809,"Nano Tube 20, Two 500 Key Shafts, 2 motor inputs",C. Dominik,2014-01-18,http://www.andymark.com/NanoTube-p/am-0809.htm, ,
9,SP-05-001,Andy Mark,AM-0844,Battery,C. Dominik,2014-01-18,http://www.andymark.com/product-p/am-0844.htm, ,
10,SP-02-004,Andy Mark,AM-0915,PG27 Planetary Gearbox with RS775 Motor,C. Granch,2014-01-20,http://www.andymark.com/product-p/am-0915.htm, ,
11,SP-02-005,Andy Mark,AM-2193,PG188 Planetary Gearbox with RS775 Motor,C. Granch,2014-01-20,http://www.andymark.com/product-p/am-2193.htm, ,
12,SP-10-001,Andy Mark,AM-2008,Bracket for Plastic Air Tank,C. Granch,2014-01-20,http://www.andymark.com/product-p/am-2008.htm, ,
13,SP-05-002,Andy Mark,AM-0839,D-Link DAP-1522 Rev B Dual Band Wireless Bridge,C. Granch,2014-01-21,http://www.andymark.com/DAP-1522-REV-B-p/am-0839.htm, ,
14,SP-05-003,Andy Mark,AM-0865,Power Distribution Board ,C. Granch,2014-01-21,http://www.andymark.com/product-p/am-0865.htm, ,
15,SP-05-004,Andy Mark,AM-0866,Digital Sidecar,C. Granch,2014-01-21,http://www.andymark.com/product-p/am-0866.htm, ,
16,SP-05-005,Andy Mark,AM-2505,Talon - Old 2014,C. Granch,2014-01-21,http://www.andymark.com/Talon-p/am-2505.htm, ,
17,SP-05-006,Andy Mark,AM-0899,12V to 5V convertr,C. Granch,2014-01-23,http://www.andymark.com/product-p/am-0899.htm, ,
18,SP-07-001,AST Bearings,FR6ZZ,"3/8"" id Flanged, Shielded Ball Bearing",K. Dominguez,2014-01-23,http://www.astbearings.com/product.html?product=FR6ZZ, ,
19,SP-10-002,Andy Mark,AM-2005,Air Compressor (Box model),C. Granch,2014-01-23,http://www.andymark.com/product-p/am-2005.htm, ,
20,SP-10-003,McMaster-Carr,6498K294,"Stainless Steel Air Cylinder, Pivot-Mount, Spring Return, 2"" Bore, 3"" Stroke",A. Haitz,2014-01-23,http://www.mcmaster.com/, ,
21,SP-05-007,????,N/A,Compact rio,C. Dominik,2014-01-25,, ,
22,SP-05-008,Andy Mark,AM-0282,Circuit Breaker,C. Granch,2014-01-25,http://www.andymark.com/product-p/am-0282.htm, ,
23,SP-08-001,Andy Mark,AM-0077a,500 Key Hub,K. Dominguez,2014-01-25,http://www.andymark.com/product-p/am-0077a.htm, ,
24,SP-10-004,Andy Mark,AM-2259,Solenoid single,C. Granch,2014-01-25,http://www.andymark.com/product-p/am-2259.htm, ,
25,SP-11-001,McMaster-Carr,3164T16,Pulley,D. Brandon,2014-01-25,http://www.mcmaster.com/, ,
26,SP-01-005,Andy Mark,AM-2256,4 inch HiGrip Wheel,K. Dominguez,2014-01-27,https://www.andymark.com/product-p/am-2256.htm, ,
27,SP-08-002,Andy Mark,AM-0096a,500 Hex Hub,K. Dominguez,2014-01-27,http://www.andymark.com/product-p/am-0096a.htm, ,
28,SP-01-006,Bane Bots,T80P-294BO-HS4,"BaneBots Wheel, 2-7/8"" x 0.8"", 1/2"" Hex Mount, 40A, Black/Orange",K. Dominguez,2014-01-28,http://banebots.com/pc/WHB-HS4-298/T80P-294BO-HS4, ,
29,SP-07-002,Andy Mark,AM-2986," 1/2"" Hex Bore, Flanged, Heavy Duty Inner Race Shielded Ball Bearing",K. Dominguez,2014-01-28,http://www.andymark.com/Hex-Bearing-p/am-2986.htm, ,
30,SP-02-006,Vex Pro,217-3351,BAG Motor,C. Dominik,2014-02-03,http://www.vexrobotics.com/vexpro/motor-controllers/217-3351.html, ,
31,SP-02-007,Vex Pro,217-3371,Mini CIM,C. Dominik,2014-02-03,http://www.vexrobotics.com/vexpro/motor-controllers/217-3371.html, ,
32,SP-03-002,Vex Pro,2-Stage Gearbox,2 Stage Gearbox,K. Dominguez,2014-02-03,http://www.vexrobotics.com/versaplanetary.html, ,
33,SP-12-001,Andy Mark,AM-3053,Tote - Gray - 2015,K. Dominguez,2015-01-04,http://www.andymark.com/FRC-2015-p/am-3053.htm, ,
34,SP-12-002,Andy Mark,AM-3054,Tote - Yellow - 2015,K. Dominguez,2015-01-04,http://www.andymark.com/FRC-2015-p/am-3054.htm, ,
35,SP-12-003,Andy Mark,1788472,Recycle Container - 2015,K. Dominguez,2015-01-04,http://www.menards.com/main/commercial-use-supplies/waste-management/recycle/brute-32-gal-green-recycle-container-w-o-lid/p-1651970-c-6242.htm, ,
36,SP-02-008,Andy Mark,AM-2083,AndyMark 9015 Motor with Cap and Sun Gear for AM Planetary,K. Dominguez,2015-01-20,http://www.andymark.com/product-p/am-2083.htm, ,
37,SP-02-009,Andy Mark,AM-2964,NeveRest 40 Motor,K. Dominguez,2015-01-20,http://www.andymark.com/NeveRest-Motor-p/am-2964.htm, ,
38,SP-05-009,Andy Mark,AM-2857,VRM,K. Dominguez,2015-01-20,http://www.andymark.com/product-p/am-2857.htm, ,
39,SP-05-010,Andy Mark,AM-3000,NI roboRio (C Rio),K. Dominguez,2015-01-20,http://www.andymark.com/product-p/am-3000.htm, ,
40,SP-05-011,Andy Mark,AM-2856,Power Distribution Board (PDP) 2015,K. Dominguez,2015-01-20,http://www.andymark.com/product-p/am-2856.htm, ,
41,SP-05-012,Andy Mark,AM-2858,Pneumatic Control Module (PCM) 2015,K. Dominguez,2015-01-20,http://www.andymark.com/product-p/am-2858.htm, ,
42,SP-05-013,Andy Mark,AM-NA,Talon SR,K. Dominguez,2015-01-20,http://www.andymark.com/Talon-p/am-talon-discontinued.htm, ,
43,SP-05-014,Andy Mark,AM-2854,Talon SRX (Actual Model),K. Dominguez,2015-01-20,http://www.andymark.com/Talon-SRX-p/am-2854.htm, ,
44,SP-14-001,T-Slot Forming,1010,"80/20 Extrusion, 6FT",N. Gardner,2015-01-26,http://www.8020.net/T-Slot-4.asp, ,Changed from Nathan to N. Gardner
45,SP-99-001,McMaster-Carr,25-6716,80/20 Slider,P. DeVries,2015-01-26,http://www.amazon.com/80-20-25-6716-Single-Bearing/dp/B006YVZP7W/ref=sr_1_2?s=industrial&ie=UTF8&qid=1422333795&sr=1-2, ,
46,SP-04-001,Vex Pro,217-3547,VersaFrame T Gusset,K. Dominguez,2015-01-27,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
47,SP-04-002,Vex Pro,217-3557,Versa Chassis Gusset,K. Dominguez,2015-01-27,, ,
48,SP-04-003,Vex Pro,217-3550,VersaFrame Plus Gusset,K. Dominguez,2015-01-27,, ,
49,SP-04-004,Vex Pro,217-3555,VersaFrame 30 Degree Gusset,K. Dominguez,2015-01-27,, ,
50,SP-04-005,Vex Pro,217-3552,VersaFrame 45 Degree Gusset,K. Dominguez,2015-01-27,, ,
51,SP-04-006,Vex Pro,217-3551,VersaFrame 60 Degree Gusset,K. Dominguez,2015-01-27,, ,
52,SP-04-007,Vex Pro,217-3548,VersaFrame 90 Degree Gusset,K. Dominguez,2015-01-27,, ,
53,SP-04-008,Vex Pro,217-3556,VersaFrame 135 Degree Gusset,K. Dominguez,2015-01-27,, ,
54,SP-04-009,Vex Pro,217-3554,VersaFrame End Bearing Gusset,K. Dominguez,2015-01-27,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
55,SP-04-010,Vex Pro,217-3553,VersaFrame Side Bearing Gusset,K. Dominguez,2015-01-27,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
56,SP-04-011,Vex Pro,217-3627,VersaFrame VersaPlanetary Bearing Gusset,K. Dominguez,2015-01-27,, ,Remvoed Local File Link
57,SP-04-012,Vex Pro,217-4178,"VersaFrame 1"" Wide VersaPlanetary Parallel Mount",K. Dominguez,2015-01-27,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
58,SP-04-013,Vex Pro,217-4179,"VersaFrame 2"" Wide VersaPlanetary Parallel Mount",K. Dominguez,2015-01-27,, ,
59,SP-04-014,Vex Pro,217-4180,VersaFrame 150 Degree Gusset 2-pack,K. Dominguez,2015-01-27,, ,
60,SP-04-015,Vex Pro,217-4181,VersaFrame 120 Degree Gusset 2-pack,K. Dominguez,2015-01-27,, ,
61,SP-04-016,Vex Pro,217-4183,VersaFrame Face Bearing Mount 2-pack,K. Dominguez,2015-01-27,, ,
62,SP-14-002,T-Slot Forming,1010,"80/20 Extrusion, 30in",C. Dominik,2015-01-27,, ,
63,SP-14-003,T-Slot Forming,1010,"80/20 Extrusion, 20in",C. Dominik,2015-01-27,, ,
64,SP-14-004,T-Slot Forming,1010,"80/20 Extrusion, 12in",C. Dominik,2015-01-27,, ,
65,SP-14-011,T-Slot Forming,1010,"80/20 Extrusion, 68 in",C. Dominik,2015-01-27,, ,Added bogus date (between other parts)
66,SP-04-017,Vex Pro,217-4238,VersaFrame Corner Gusset,K. Dominguez,2015-01-28,, ,
67,SP-04-018,Vex Pro,217-4239,VersaFrame VersaPlanetary Side Mount,K. Dominguez,2015-01-28,, ,
68,SP-04-019,Vex Pro,217-4399,"VersaFrame Dual 0.5"" Bearing Plate",K. Dominguez,2015-01-28,, ,
69,SP-04-020,Vex Pro,217-4400,VersaFrame #35 Chain Mount 2-pack,K. Dominguez,2015-01-28,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
70,SP-04-021,Vex Pro,217-3432,VersaBlock Kit,K. Dominguez,2015-01-28,http://www.vexrobotics.com/vexpro/all/bearingblocks-g.html, ,
71,SP-04-022,Vex Pro,217-4399,"VersaFrame Dual 0.875"" Bearing Plate",K. Dominguez,2015-01-28,http://www.vexrobotics.com/vexpro/versaframe/versaframegussetsandmounts.html, ,
72,SP-04-023,Vex Pro,217-3453,"VersaFrame 1"" x 2"" x 0.10"" Pre-Drilled Tube Stock 59""",K. Dominguez,2015-01-28,http://www.vexrobotics.com/vexpro/versaframe/versaframestock.html, ,
73,SP-04-024,Vex Pro,217-3423,Transmission - WCP DS - Dual Speed Base Kit,K. Dominguez,2015-01-28,http://www.vexrobotics.com/vexpro/motion/gearboxes/wcp-ds.html, ,
74,SP-01-007,Vex Pro,217-2584,"4"" Omni Wheel",K. Dominguez,2015-01-30,http://www.vexrobotics.com/vexpro/motion/wheels-and-hubs/omni-wheels.html, ,
75,SP-01-008,Vex Pro,217-2588,"4"" Traction Wheel - 1"" Wide",K. Dominguez,2015-01-30,http://www.vexrobotics.com/vexpro/motion/wheels-and-hubs/traction-wheels.html, ,
76,SP-02-010,Denso,262100-3030,Window Motor,L. Furlong,2015-01-30,, ,
77,SP-04-025,Vex Pro,217-3424,Transmission - WCP DS - West Coast Drive Base Kit,K. Dominguez,2015-01-30,http://www.vexrobotics.com/vexpro/motion/gearboxes/wcp-ds.html, ,
78,SP-04-026,Vex Pro,217-3199,"VersaPulley Kit (HTD 5mm) - 42T, 18mm wide",K. Dominguez,2015-01-30,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdversapulley.html, ,
79,SP-10-005,Bimba,021-DXP,"Piston, 1"" Stroke",N. Dekker,2015-01-30,, ,
80,SP-11-005,Vex Pro,217-3200,"Versa Pulley - 60T, 7mm",K. Dominguez,2015-01-30,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdversapulley.html, ,
81,SP-08-003,Vex Pro,217-2592,VersaHub 1/2 inch Hex,K. Dominguez,2015-01-31,http://www.vexrobotics.com/vexpro/motion/wheels-and-hubs/versahubs.html, ,
82,SP-08-004,Vex Pro,217-2592,"VersaHub 1/2 inch Hex, Plastic",K. Dominguez,2015-01-31,http://www.vexrobotics.com/vexpro/motion/wheels-and-hubs/versahubs.html, ,
83,SP-99-002,McMaster-Carr,4698T146,Aluminum Slip-on Rail Fitting,P. DeVries,2015-01-31,http://www.mcmaster.com/, ,
84,SP-03-003,Andy Mark,P80K-4-0005,BaneBots 4:1 Gearbox,K. Dominguez,2015-02-13,http://www.banebots.com/pc/P80K-S4/P80K-4-0005, ,
85,SP-15-001,McMaster-Carr,47065T223,80/20 Right Angle Bracket,K. Dominguez,2015-02-14,http://www.mcmaster.com/, ,
86,SP-15-002,McMaster-Carr,47065T182,"80/20 Tee, 5 Hole, 1""",K. Dominguez,2015-02-15,http://www.mcmaster.com/, ,
87,SP-01-010,Bane Bots,T40P-293BG-HS4,"BaneBots Wheel, 2-7/8"" x 0.4"", 1/2"" Hex Mount, 30A, Black/Green ",P. DeVries,2015-02-21,http://banebots.com/pc/WHB-WS-294/T40P-293BG-HS4, ,Changed from Peter DeVries to P. DeVries
88,SP-07-004,Andy Mark, AM-0030,"1/2"" id Flanged, Shielded Ball Bearing",K. Dominguez,2015-02-21,http://www.andymark.com/product-p/am-0030.htm, ,
89,SP-16-001,Vex Pro,217-3261,"1/2"" Acetal Spacer - 1/2"" Hex",N. Dekker,2015-02-21,http://www.vexrobotics.com/acetalspacers.html, ,
90,SP-09-001,Andy Mark,AM-0233,S25-32L Aluminum Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0233.htm, ,
91,SP-09-002,Andy Mark,AM-0234,S25-36L Aluminum Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0234.htm, ,
92,SP-09-003,Andy Mark,AM-0235,S25-42L Aluminum Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0235.htm, ,
93,SP-09-004,Andy Mark,AM-0238,S25-66L Aluminum Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0238.htm, ,
94,SP-09-005,Andy Mark,AM-0646,S25-22HA-500-Hex Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0646.htm, ,
95,SP-09-006,Andy Mark,AM-0277,S25-16HA-500K Aluminum Sprocket,K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-0277.htm, ,
96,SP-15-003,McMaster-Carr,47065T175,"80/20 Right Angle Bracket 2""",K. Dominguez,2015-03-07,http://www.mcmaster.com/, ,
97,SP-16-002,Vex Pro,217-2758,"1/8"" Acetal Spacer - 1/2"" Hex",K. Dominguez,2015-03-07,http://www.vexrobotics.com/217-2758.html, ,
98,SP-16-003,Vex Pro,217-3263,"1"" Acetal Spacer - 1/2"" Hex",K. Dominguez,2015-03-07,http://www.vexrobotics.com/acetalspacers.html, ,
99,SP-17-001,Andy Mark,AM-1238,"Collar Clamp, 1/2"" Hex Bore, Aluminum",K. Dominguez,2015-03-07,http://www.andymark.com/product-p/am-1238.htm, ,
100,SP-17-002,Vex Pro,217-2737,"Clamping Shaft Collars, 1/2"" Hex",K. Dominguez,2015-03-07,http://www.vexrobotics.com/shaft-collars.html, ,
101,SP-99-004,ViAir,90,VIAIR Air Compressor,K. Dominguez,2015-03-07,http://www.viaircorp.com/90C.html, ,
102,SP-14-012,McMaster-Carr,47065T209,"80/20 1x1 Basic Extrusion, 2ft",K. Dominguez,2015-03-15,http://www.mcmaster.com/, ,
103,SP-05-020,Omega,N/A,Solinoid,R. Carranza,2015-11-10,, ,Remvoed Local File Link
104,SP-03-004,Andy Mark,AM-0689L,"Nano Tube 31, Left, Three 1/2"" Key Shafts, 25 Chain Drive",K. Dominguez,2016-01-18,http://www.andymark.com/product-p/am-0689l.htm, ,
105,SP-03-005,Andy Mark,AM-0689R,"Nano Tube 31, Right, Three 1/2"" Key Shafts, 25 Chain Drive",K. Dominguez,2016-01-18,http://www.andymark.com/product-p/am-0689r.htm, ,
106,SP-03-018,Vex Pro,217-4824-016,Versa Drop (Butterfly) - Drop Mount and Piston,K. Dominguez,2016-01-23,http://www.vexrobotics.com/217-4824.html, ,
107,SP-11-002,Vex Pro,214-3227,Timing Pully - 24T 9mm,K. Dominguez,2016-01-25,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdpulleys.html, ,
108,SP-11-003,Vex Pro,217-3249,"Versa Pully - 60T, 7mm",K. Dominguez,2016-01-25,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdversapulley.html, ,
109,SP-11-004,Vex Pro,217-3200,"Versa Pully - 60T, 18mm",K. Dominguez,2016-01-26,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdversapulley.html, ,
110,SP-01-011,Bane Bots,T40P-193BG-HS4,bane bots 1-7/8 x 1/4 hex mount,B. Long,2016-01-30,http://www.banebots.com/product/T40P-193BG-HS4.html, ,
111,SP-09-007,Andy Mark,AM-0749,S25-16HA-500-Hex Sprocket,Y. Ghebreyesus,2016-01-30,http://www.andymark.com/product-p/am-0749.htm, ,
112,SP-09-008,Andy Mark,AM-2182,"S25-16HA-394K Sprocket, 25 Series, 16 tooth, 10mm Key Bore",R. Carranza,2016-02-05,http://www.andymark.com/product-p/am-2182.htm, ,
113,SP-02-012,Bane Bots,M5-RS550-12,RS550 Motor - 12V,Y. Ghebreyesus,2016-02-06,http://www.banebots.com/product/M5-RS550-12.html, ,
114,SP-03-006,Andy Mark,AM-2877,Banebots P60 64:1 Gearbox w/ Motor Block & Mounting Kit,Y. Ghebreyesus,2016-02-06,http://www.andymark.com/Banebots-p/am-2877.htm, ,
115,SP-15-004,McMaster-Carr,1513A14,Banebots P60 64:1 Gearbox w/ Motor Block & Mounting Kit,L. Furlong,2016-02-06,http://www.mcmaster.com/, ,
116,SP-08-005,Vex Pro,217-2590,"VersaHub 1/2"" Round w/ 1/8"" Keyway",K. Dominguez,2016-02-09,http://www.vexrobotics.com/vexpro/motion/wheels-and-hubs/versahubs.html, ,
117,SP-11-006,Vex Pro,217-3199,"VersaPulley Kit (HTD 5mm) - 42T, 11mm wide",K. Dominguez,2016-02-09,, ,Remvoed Local File Link
118,SP-11-007,Vex Pro,217-3225,"Timing Pulley (HTD 5mm) - 18T, 9mm Double Flange, 1/2"" Hex",K. Dominguez,2016-02-09,http://www.vexrobotics.com/vexpro/motion/belts-and-pulleys/htdpulleys.html, ,
119,SP-01-012,Bane Bots,T81P-393BG,"BaneBots Wheel, 3-7/8"" x 0.4"", 1/2"" Hex Mount, 30A, Black/Green ",K. Dominguez,2016-02-11,http://www.banebots.com/product/T81P-393BG.html, ,
